date,ppi,gdp_pct_change,int_3m,cons_conf,unm_rate
1989-07-01,58.0349124826452,2.7158175880260815,13.96317,100.456,7.0
1989-08-01,58.1915536660091,2.7158175880260815,13.89572,100.307,7.0
1989-09-01,58.5831522625462,2.7158175880260815,14.07217,100.1072,6.9
1989-10-01,58.8964346292739,2.5783613310162767,15.068179999999998,99.89664,6.8
1989-11-01,58.8964346292739,2.5783613310162767,15.15412,99.72774,6.8
1989-12-01,59.1313928355149,2.5783613310162767,15.15179,99.60282,6.8
1990-01-01,59.7579488452253,2.3090051199678774,15.19837,99.49652,6.8
1990-02-01,59.9145900285892,2.3090051199678774,15.14922,99.40936,6.8
1990-03-01,60.3061886251263,2.3090051199678774,15.31676,99.37785,6.7
1990-04-01,61.0893866112683,2.246467471298197,15.25744,99.41489,6.8
1990-05-01,61.402668977996,2.246467471298197,15.19429,99.46527,6.7
1990-06-01,61.4809852078055,2.246467471298197,15.01302,99.47208,6.7
1990-07-01,61.4809852078055,2.00876924645661,14.9858,99.41196,6.8
1990-08-01,62.0292249877064,2.00876924645661,15.01664,99.2888,6.8
1990-09-01,62.6557817904846,2.00876924645661,14.95117,99.12041,6.9
1990-10-01,63.1256966168312,0.5209680833548891,14.06216,98.93393,7.0
1990-11-01,63.0473803870217,0.5209680833548891,13.68111,98.75393,7.1
1990-12-01,62.9690554334674,0.5209680833548891,13.8817,98.63288,7.4
1991-01-01,63.6739371897999,1.3091240918609692,14.01087,98.59975,7.5
1991-02-01,63.7554653438505,1.3091240918609692,13.295320000000002,98.70358,7.7
1991-03-01,64.0000513921375,1.3091240918609692,12.4628,98.93243,8.1
1991-04-01,64.8153392771847,1.5185458912651884,12.01492,99.19907,8.3
1991-05-01,65.14145427259,1.5185458912651884,11.56522,99.47033,8.5
1991-06-01,65.0599253254717,1.5185458912651884,11.29844,99.7405,8.6
1991-07-01,65.2229824266405,0.8292477619410432,11.12976,100.0045,8.8
1991-08-01,65.2229824266405,0.8292477619410432,10.93324,100.2421,9.0
1991-09-01,65.3045113737588,0.8292477619410432,10.33408,100.3986,9.0
1991-10-01,65.4675684749276,1.3030234657039674,10.45823,100.4505,9.0
1991-11-01,65.6306263691641,1.3030234657039674,10.52977,100.4252,9.1
1991-12-01,65.4675684749276,1.3030234657039674,10.84837,100.3696,9.2
1992-01-01,65.7936834703329,1.0290105239712632,10.71773,100.3423,9.3
1992-02-01,66.0382703116876,1.0290105239712632,10.42031,100.3634,9.3
1992-03-01,66.5274424082618,1.0290105239712632,10.67045,100.406,9.3
1992-04-01,66.8535574036671,0.24856975936684567,10.65483,100.4081,9.8
1992-05-01,67.0166145048359,0.24856975936684567,10.109,100.2783,9.8
1992-06-01,67.0981434519541,0.24856975936684567,10.05078,100.0021,9.9
1992-07-01,67.0981434519541,0.36780673927505614,10.20245,99.65091,9.9
1992-08-01,67.0166145048359,0.36780673927505614,10.4122,99.33956,9.9
1992-09-01,67.0166145048359,0.36780673927505614,10.03729,99.15178,10.1
1992-10-01,67.3427295002412,1.331631591056004,8.39347,99.11961,10.2
1992-11-01,67.5873155485282,1.331631591056004,7.2671100000000015,99.21712,10.4
1992-12-01,67.6688444956465,1.331631591056004,7.231319999999998,99.40015,10.5
1993-01-01,68.0764884381701,2.4817691862759395,6.983630000000001,99.6045,10.7
1993-02-01,68.4841315876259,2.4817691862759395,6.23086,99.81917,10.6
1993-03-01,68.9733044772677,2.4817691862759395,6.03193,100.0334,10.6
1993-04-01,69.5440055209601,0.11710096001686932,6.02379,100.2407,10.5
1993-05-01,69.7070626221289,0.11710096001686932,6.04427,100.4294,10.4
1993-06-01,69.7885915692472,0.11710096001686932,5.9517,100.5879,10.4
1993-07-01,69.8701205163654,1.975743142854136,6.00355,100.7439,10.3
1993-08-01,69.951648670416,1.975743142854136,5.91406,100.8957,10.2
1993-09-01,69.951648670416,1.975743142854136,5.95987,101.0037,10.3
1993-10-01,70.0331776175342,1.7406175084731856,5.813619999999999,101.0564,10.2
1993-11-01,70.0331776175342,1.7406175084731856,5.6076,101.0542,10.3
1993-12-01,70.4408215600578,1.7406175084731856,5.38281,101.0063,10.3
1994-01-01,70.6038786612266,1.459976335687907,5.44345,100.919,10.1
1994-02-01,70.6854076083448,1.459976335687907,5.26328,100.7687,9.9
1994-03-01,70.7669365554631,1.459976335687907,5.227580000000001,100.5826,9.8
1994-04-01,71.0115226037502,0.4479569160543706,5.28981,100.4159,9.7
1994-05-01,71.2561086520372,0.4479569160543706,5.22727,100.3019,9.7
1994-06-01,71.2561086520372,0.4479569160543706,5.18786,100.2322,9.6
1994-07-01,71.3376375991555,1.296022243149908,5.266369999999999,100.1827,9.5
1994-08-01,71.5006947003243,1.296022243149908,5.57745,100.1417,9.4
1994-09-01,71.5822236474425,1.296022243149908,5.76811,100.0769,9.3
1994-10-01,71.6637525945608,1.8313558821793308,5.9747,99.98431,9.1
1994-11-01,71.8268096957296,1.8313558821793308,6.12536,99.87586,9.0
1994-12-01,72.2344536382532,1.8313558821793308,6.42685,99.76565,8.9
1995-01-01,73.1312696773508,0.7931792382194436,6.63778,99.69443,8.9
1995-02-01,73.2943267785196,0.7931792382194436,6.803910000000001,99.6641,8.9
1995-03-01,73.5389128268067,0.7931792382194436,6.72554,99.66493,8.8
