observation_date,GBRPPDMMINMEI
1980-04-01,34.85227588487340
1980-05-01,35.24387448141060
1980-06-01,35.63547307794770
1980-07-01,35.24387448141060
1980-08-01,36.10539662803920
1980-09-01,36.18371365091640
1980-10-01,36.41867106408970
1980-11-01,36.49699601764410
1980-12-01,36.65362847726300
1981-01-01,37.20186825716400
1981-02-01,37.51515062389170
1981-03-01,38.06338247311550
1981-04-01,38.68994720657080
1981-05-01,38.84658045925750
1981-06-01,39.08154580310800
1981-07-01,39.31650400934900
1981-08-01,39.62977765233180
1981-09-01,39.94306001905940
1981-10-01,40.33465861559660
1981-11-01,40.56961682183760
1981-12-01,40.72625800520140
1982-01-01,41.19617283154810
1982-02-01,41.50945519827570
1982-03-01,41.74441261144900
1982-04-01,41.90105379481290
1982-05-01,42.05769497817670
1982-06-01,42.21432823086340
1982-07-01,42.60592682740050
1982-08-01,42.84089296431870
1982-09-01,43.07585037749200
1982-10-01,43.31080779066530
1982-11-01,43.54576599690640
1982-12-01,43.93736459344350
1983-01-01,44.09400577680730
1983-02-01,44.32896318998060
1983-03-01,44.56392060315400
1983-04-01,44.95551999275880
1983-05-01,45.11216117612260
1983-06-01,45.26880156641880
1983-07-01,45.42544274978260
1983-08-01,45.66040095602360
1983-09-01,45.97367459900640
1983-10-01,45.89535836919690
1983-11-01,45.81704213938740
1983-12-01,45.97367459900640
1984-01-01,46.36527398861130
1984-02-01,46.67855635533890
1984-03-01,47.07015495187610
1984-04-01,47.54006977822270
1984-05-01,47.77503591514090
1984-06-01,47.77503591514090
1984-07-01,48.00999332831420
1984-08-01,48.16663451167800
1984-09-01,48.47990894772850
1984-10-01,48.94983249782000
1984-11-01,49.10646495743900
1984-12-01,49.41974732416670
1985-01-01,49.88966294358100
1985-02-01,50.43790272348200
1985-03-01,50.98614250338290
1985-04-01,50.90781834289630
1985-05-01,50.90781834289630
1985-06-01,50.90781834289630
1985-07-01,51.06445873319240
1985-08-01,51.06445873319240
1985-09-01,51.37774109992010
1985-10-01,51.29941693943350
1985-11-01,51.14278368674680
1985-12-01,51.14278368674680
1986-01-01,51.45605812279730
1986-02-01,51.45605812279730
1986-03-01,51.45605812279730
1986-04-01,51.61269930616110
1986-05-01,51.37774109992010
1986-06-01,51.45605812279730
1986-07-01,51.37774109992010
1986-08-01,51.45605812279730
1986-09-01,51.69101553597060
1986-10-01,51.84765671933440
1986-11-01,52.00429790269820
1986-12-01,52.08261413250770
1987-01-01,52.63085391240870
1987-02-01,52.78749509577250
1987-03-01,52.94413627913640
1987-04-01,53.10077746250020
1987-05-01,53.25741071518690
1987-06-01,53.25741071518690
1987-07-01,53.41405189855070
1987-08-01,53.49237685210500
1987-09-01,53.64900931172400
1987-10-01,53.88396751796500
1987-11-01,53.96229167845170
1987-12-01,54.11893286181550
1988-01-01,54.35389027498880
1988-02-01,54.51053145835260
1988-03-01,54.58884848122980
