,date,gdp_pct_change,int_3m,cons_conf,unm_rate,ppi_diff,infl_rate_diff
178,2000-12-01,0.7904437057796976,5.95539,100.6704,5.2,-0.39653385692029985,-0.0027100271002711
181,2001-03-01,1.6281250336797726,5.55126,100.5834,5.0,0.23792031415219128,-7.384229132600083e-06
184,2001-06-01,1.3570693805697642,5.25854,100.3444,5.0,0.07930677138409692,-0.0053853166228806995
187,2001-09-01,0.5015206048938348,4.72946,100.0108,5.1,0.0,-0.0013530488461395
190,2001-12-01,0.0645461296613802,4.0506,99.97735,5.2,-0.23792031415219128,0.0013351134846462
193,2002-03-01,1.4336644101653473,4.13055,100.3123,5.2,0.2379203141522055,-7.130124777500121e-06
196,2002-06-01,1.0359470196864118,4.17758,100.3699,5.2,-0.15861354276820805,-0.0026455026455027
199,2002-09-01,1.2567847426196987,3.98872,100.0121,5.2,0.15861354276809436,-6.980218062000061e-06
202,2002-12-01,1.663269057246941,4.01777,99.2779,5.0,0.07930677138409692,0.0026281208935612
205,2003-03-01,1.0775557432932237,3.65503,98.74686,5.1,0.7137609424567017,0.0013071352270353
208,2003-06-01,1.7766720327820895,3.63966,99.06673,5.1,-0.15861354276820805,-0.001302083333333
211,2003-09-01,1.4427316998351092,3.6967,99.55057,5.0,-0.07930677138409692,-6.799390774400293e-06
214,2003-12-01,0.9371170813606612,4.01864,100.0286,4.8,0.07930677138409692,0.0025940337224383
217,2004-03-01,0.7302504696696355,4.29673,100.2163,4.8,0.3172270855363024,-0.0013020658098382002
220,2004-06-01,2.154421924666483,4.78974,100.0623,4.8,0.15861354276819384,-0.0038659793814437
223,2004-09-01,0.5640944767265621,4.9469,100.102,4.7,0.39653385692029985,-0.0025740025740026
226,2004-12-01,2.0938382108132814,4.87103,100.3286,4.7,-0.39653385692039933,0.0012705981622932
229,2005-03-01,0.8031665854342895,4.98736,100.2833,4.7,0.6344541710725906,0.0012673776346074999
232,2005-06-01,2.120707742619876,4.84144,100.1052,4.7,0.3172270855363024,-0.0037926675094819
235,2005-09-01,1.0071996120416316,4.59686,100.1161,4.9,0.7137609424567017,-6.312981857899743e-06
238,2005-12-01,1.421018690287812,4.63732,100.4186,5.1,-0.3172270855361887,0.0037499999999996
241,2006-03-01,1.17926179892045,4.58741,100.8596,5.3,0.2379203141522055,-6.234413965099973e-06
244,2006-06-01,1.6137292954572446,4.73498,101.2276,5.5,0.15861354276810857,-0.0024843511723123
247,2006-09-01,1.0464742454542098,5.02501,101.7327,5.5,-0.6344541710726048,-0.0024584877075608004
250,2006-12-01,0.5438372748279185,5.29167,102.5082,5.5,0.0,0.0024271556584176
253,2007-03-01,1.0882274068114706,5.54946,103.114,5.5,0.7137609424567017,0.0012002885422698006
256,2007-06-01,2.4368762567713143,5.88018,103.2012,5.3,0.47584062830449625,-5.778484678700072e-06
259,2007-09-01,0.8149809397530516,6.64694,102.6556,5.2,0.4758406283043968,-0.0024110675358633
262,2007-12-01,0.7585585076459456,6.359430000000001,101.804,5.2,0.5551473996885079,0.0011762903010681001
265,2008-03-01,1.41646526141892,5.899290000000001,100.4028,5.3,1.3482151135293066,-0.0023992039196832
268,2008-06-01,0.725238813474105,5.92944,98.06381,5.5,1.5861354276815973,-3.3920566174999896e-05
271,2008-09-01,-0.1724546713752661,5.9106,95.45549,6.0,0.0,-0.0011812495525570007
274,2008-12-01,-1.2182682740241146,3.17247,93.9968,6.5,-1.4275218849133893,-0.0022909507445589
277,2009-03-01,-2.0872087284654617,1.83139,94.57948,7.3,-0.09999166736099596,-0.0057816174756875
280,2009-06-01,-0.0829727508180999,1.24117,97.15379,7.9,0.49995833680519297,-0.0022961157159114005
283,2009-09-01,0.5285174348666377,0.6056,100.1215,7.9,0.1999833347220914,-0.0034090909090906
286,2009-12-01,-0.4675807265128839,0.60541,101.6355,7.7,0.1999833347221056,0.0011235610757592
289,2010-03-01,2.4295527937142403,0.64549,101.7337,8.0,1.1999000083326905,0.0022421297702195004
292,2010-06-01,1.2739287589354165,0.7283899999999999,101.2031,7.8,-0.1999833347220772,-0.0011148161911309
295,2010-09-01,0.7831056544614912,0.7285899999999998,100.7928,7.9,0.1999833347221056,-0.0044444444444444
298,2010-12-01,0.5994584100997846,0.74962,100.7629,7.9,1.099908340971595,0.0054896218098630005
301,2011-03-01,1.9708005870365144,0.80913,100.6559,7.7,1.5998666777764754,-0.0021963522377773004
304,2011-06-01,-0.5887089386363731,0.82512,99.97795,8.0,0.19998333472200613,-0.0021436227224009
307,2011-09-01,0.9096332366549832,0.9181,98.83717,8.4,0.39996666944399806,0.0021117014915170993
310,2011-12-01,0.7666149982576975,1.06148,98.17594,8.3,-0.2999750020830021,0.0010514965108417
313,2012-03-01,1.2484945326194596,1.03757,98.17329,8.2,0.8999250062490063,-0.0031789907092721003
316,2012-06-01,0.0939840768832134,0.94978,98.40971,8.0,-0.999916673610997,-0.0031282586027112
319,2012-09-01,1.4178505620806805,0.6480299999999999,99.03364,7.8,0.499958336804994,-0.0010579801386789997
322,2012-12-01,0.5355435720849178,0.51848,99.60844,7.8,-0.39996666944399806,0.0010266678026753999
325,2013-03-01,1.1565483114533093,0.50688,100.2761,7.8,0.09999166736099596,-0.0020777160983348
328,2013-06-01,0.8697576679907781,0.50794,101.0825,7.7,0.09999166736101017,-0.004077476204331
331,2013-09-01,1.5166423506260074,0.51688,101.748,7.4,0.0,-0.0010328521652564998
334,2013-12-01,0.7537878787878816,0.5247399999999999,102.0683,7.1,0.0,0.0040485829959515
337,2014-03-01,1.216321710457935,0.5215699999999999,102.3122,6.6,0.0,-0.0020345214325072996
340,2014-06-01,0.8446894466257238,0.5439399999999999,102.2122,6.1,-0.19998333472199192,0.002008032128514
343,2014-09-01,1.9662051049834428,0.56291,101.7645,5.9,-0.2999750020830021,-0.0020110471917703003
346,2014-12-01,0.432192153396338,0.55818,101.3737,5.6,-0.9999166736100022,0.0019980019980019
349,2015-03-01,0.4277934574258735,0.56436,101.3052,5.5,0.29997500208399686,-0.0020191684227589
352,2015-06-01,0.4025870059829683,0.57188,101.1907,5.5,-0.19998333472200613,-0.0020020020020019
355,2015-09-01,0.6993417836257843,0.58576,100.7459,5.2,-0.19998333472219088,-0.0039970089730805
358,2015-12-01,1.1110092431301677,0.58277,100.2518,5.1,-0.399966669444197,0.0009970089730808
361,2016-03-01,0.912301960202444,0.58825,99.89868,5.0,0.2999750020831158,0.0009950009950011
364,2016-06-01,0.8223687569305138,0.5746799999999999,99.87375,4.9,0.3999666694442965,-3.944586449700083e-06
367,2016-09-01,1.436268254643425,0.3790699999999999,100.3721,4.8,0.19998333472199192,-8.813955037100061e-06
370,2016-12-01,1.3278727478579275,0.3722599999999999,100.9139,4.7,0.2999750020830021,0.0019607691474715
373,2017-03-01,1.253914171023407,0.3456699999999999,101.1461,4.5,0.2999750020830021,-0.0029642221267192
376,2017-06-01,0.747741400584645,0.2944199999999999,101.1401,4.3,0.09999166736101017,-0.002906976744186
379,2017-09-01,0.6956357117468004,0.30911,100.9565,4.2,0.499958336804994,-0.0019463024897808001
