date,infl_rate,ppi,gdp_pct_change,int_3m,cons_conf,unm_rate
2009-07-01,-0.00029796545463012247,172.5,0.47037681601218573,0.35,97.90809,9.5
2009-08-01,0.0033484533777929926,175.0,0.47037681601218573,0.3,97.95174,9.6
2009-09-01,0.0019308872334005134,174.1,0.47037681601218573,0.25,98.1294,9.8
2009-10-01,0.003001931798703783,175.2,1.400572030417302,0.24,98.15902,10.0
2009-11-01,0.0033485905897676638,177.4,1.400572030417302,0.21,98.17303,9.9
2009-12-01,0.0005201763996427466,178.1,1.400572030417302,0.22,98.34699,9.9
2010-01-01,0.0006487322116246474,181.9,0.7737292568026133,0.2,98.50824,9.8
2010-02-01,-0.0009517766497462166,181.0,0.7737292568026133,0.19,98.56321,9.8
2010-03-01,0.00033136813619227823,183.3,0.7737292568026133,0.23,98.56012,9.9
2010-04-01,0.00023004053314190642,184.4,1.4601333865235766,0.3,98.53974,9.9
2010-05-01,-0.0005197720362644098,184.8,1.4601333865235766,0.45,98.53848,9.6
2010-06-01,-0.00041879515854381655,183.5,1.4601333865235766,0.52,98.44367,9.4
2010-07-01,0.0018692535416828804,184.1,1.077516157502112,0.41,98.15993,9.4
2010-08-01,0.0014613634796996067,184.9,1.077516157502112,0.32,97.98689,9.5
2010-09-01,0.001615249422961318,184.9,1.077516157502112,0.28,97.93621,9.5
2010-10-01,0.00348184629481163,186.6,1.108647186523859,0.27,98.0344,9.4
2010-11-01,0.0025338416234848005,187.7,1.108647186523859,0.27,98.29088,9.8
2010-12-01,0.004016576346828282,189.7,1.108647186523859,0.3,98.54091,9.3
2011-01-01,0.003243042200370194,192.7,0.274170098855131,0.29,98.64883,9.1
2011-02-01,0.00321447463006419,195.8,0.274170098855131,0.28,98.59994,9.0
2011-03-01,0.0051735482068338,199.2,0.274170098855131,0.28,98.35714,9.0
2011-04-01,0.0046940989750992035,203.1,1.3424857381531652,0.23,98.29892,9.1
2011-05-01,0.003181714734507679,204.1,1.3424857381531652,0.21,98.28327,9.0
2011-06-01,0.0,203.9,1.3424857381531652,0.22,97.97703,9.1
2011-07-01,0.0026200368317570444,204.6,0.5794039789969396,0.24,97.40202,9.0
2011-08-01,0.003154462166418792,203.2,0.5794039789969396,0.29,96.91122,9.0
2011-09-01,0.0021715478580843772,203.7,0.5794039789969396,0.33,96.84426,9.0
2011-10-01,0.0006752075270193281,201.1,1.2435006339597932,0.37,97.07516,8.8
2011-11-01,0.0018478500551268873,201.4,1.2435006339597932,0.41,97.51543,8.6
2011-12-01,0.00023770849015480877,199.8,1.2435006339597932,0.49,98.06004,8.5
